,08/09/2020,08/16/2020,08/23/2020,08/30/2020,09/06/2020,09/13/2020,09/20/2020,09/27/2020,10/04/2020,10/11/2020,10/18/2020,10/25/2020,11/01/2020,11/08/2020,11/15/2020,11/22/2020,11/29/2020,12/06/2020,12/13/2020,12/20/2020,12/27/2020,01/03/2021,01/10/2021,01/17/2021,01/24/2021,01/31/2021,02/07/2021,02/14/2021,02/21/2021,02/28/2021,03/07/2021,03/14/2021,03/21/2021,03/28/2021,04/04/2021,04/11/2021,04/18/2021,04/25/2021,05/02/2021,05/09/2021,05/16/2021,05/23/2021,05/30/2021,06/06/2021,06/13/2021,06/20/2021,06/27/2021,07/04/2021,07/11/2021,07/18/2021,07/25/2021,08/01/2021,08/08/2021,08/15/2021,08/22/2021,08/29/2021,09/05/2021,09/12/2021,09/19/2021,09/26/2021,10/03/2021,10/10/2021,10/17/2021,10/24/2021,10/31/2021,11/07/2021,11/14/2021,11/21/2021,11/28/2021,12/05/2021,12/12/2021,12/19/2021,12/26/2021,01/02/2222
prev_net_sales_30_grand_army_plaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.23,6060.65,5963.85,6696.83,6140.27,6018.39,6562.6,4987.83,6287.24,6597.59,7321.56,7011.72,7324.51,8563.01,7678.92,7933.16,7245.02,7277.39,7592.36,8293.61,10
prev_net_sales_30_jay_and_water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8742.56,9574.75,9243.43,8435.5,9461,8477.25,8159.25,11117.5,7395.25,8870.75,10347.75,9506,10415.75,12014.5,10343.25,11321,10
prev_net_sales_30_lafayette_and_spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649.5,4528.63,6916.72,6762.12,6712.65,7988.35,8832.1,8367.89,8440.31,8801.01,9323.55,9741.42,7883.47,7909.55,9431.89,9509.49,9110.09,9677.65,9597.48,9268.25,8404.38,10359.88,9691.55,10210.74,10759.27,9226.28,11002.97,11335.89,11920.4,12168.97,13906.29,12398.55,11466.54,10
prev_net_sales_30_lincoln_place_and_5th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_30_madison_square_park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093.61,1233.74,1128.53,427.12,831.61,778.88,765.59,1088.53,989.47,1236.47,1194.13,939.16,1286.66,1359.21,1663.01,1394.19,1560.7,1372.09,859.52,10
prev_net_sales_30_mccarren_park_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3722,6702,7453.75,6340.75,4875.25,5050.5,4665.5,4916,5275.25,6156.5,5536,5641.75,4930.56,8697.06,3457.03,2814.7,4160.43,0,190.25,0,0,0,41,0,0,10
prev_net_sales_30_mccarren_park_south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274.5,6095.25,4958.5,4122.75,5623.5,5263.75,6230,6598.25,6690.75,6665,6516.5,7887.5,7634.75,9037.75,8004,6953.75,7746.5,7942.5,7949.07,7051.75,9624.25,7581,8106.7,10
prev_net_sales_30_smith_and_pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4390.5,5751.25,7197.25,6189,6066,5397.25,7204.75,5994,8136.5,8505.75,5435,0,6000.5,2916.75,4473,4909,4215,5253.25,10
prev_net_sales_30_washington_square_park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1112.5,2508.48,2818.98,4349.05,5309.25,10417.7,8663.94,5872.31,2990,5738.25,7343,7538.5,9132.25,8239,7827.75,10
prev_net_sales_30_wythe_diner,0,0,0,0,0,2758,3757.5,4141.5,5605.75,7114.5,2558,7673,7969.5,6897.25,8677,8047,8168.25,8626.5,9197,8689.99,8172.75,6230.25,5613.75,7047.75,7956,7943,3790.25,5169.24,5974.24,9346,8466,7095.5,6461,5202.25,5655.25,3301.5,7042,6213.75,8321,8114.75,8247.5,7064.5,9079,9240.5,8162,9581.5,31352.25,9610.5,9390.5,10288,10659.75,10474.75,8516.25,8332.75,8605,8377.25,9629.5,10575.25,10504.5,10190.75,8543,11031.75,10289.75,10855,11102,9452.06,29580.5,29439,29059.25,29253.25,17399.25,16117.5,17710.5,10
prev_net_sales_365_13th_and_7th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_21st_and_9th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_5th_ave_and_lincoln_place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_71st_and_lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_80th_and_lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_88th_and_madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_9th_and_3rd_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_9th_and_ave_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_bedford_and_grand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_bedford_and_n_7th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_bergen_and_nevins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_bleecker_and_7th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_bowery_market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_broadway_and_w_30th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_broadway_and_w_79th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_brooklyn_commons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_court_and_bergen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_grand_army_plaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_jay_and_water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_lafayette_and_spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_lincoln_place_and_5th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_madison_square_park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_mccarren_park_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_mccarren_park_south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_smith_and_pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_washington_square_park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
prev_net_sales_365_wythe_diner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.75,3248.75,3706.25,4535.25,5626.25,6410,3087.75,7540.75,8051,9263.5,8963,7481.25,9051,8090.5,8162.49,8880,7841.75,5777.25,6935.5,7651.25,8258.25,10
app_gross_sales_13th_and_7th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.25,266.25,508.1,793.4,1088.7,10
app_gross_sales_21st_and_9th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,575,1022,1302.35,10
app_gross_sales_5th_ave_and_lincoln_place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,482.75,10
app_gross_sales_71st_and_lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285.18,699.5,997.25,1138.81,1253.28,1307.16,1401.93,1260.18,1590.08,1616.17,1647.69,1572.92,1321.58,558.83,1177.71,1448.4,1808,10
app_gross_sales_80th_and_lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.5,541,938.5,10
app_gross_sales_88th_and_madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627.25,529.5,696,10
app_gross_sales_9th_and_3rd_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.5,624.85,763.37,646.69,446.75,632.8,826.4,1594.1,10
app_gross_sales_9th_and_ave_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,370,788.5,1023.25,1355.25,10
app_gross_sales_bedford_and_grand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652.75,619.25,728.25,573.25,583.25,865.79,744.21,967.86,1196.43,1184.86,977.13,903.27,910.06,994.88,1313.15,1162.86,1197.02,1345.56,1432.53,1445.05,1295.19,1335.06,1328,1144.64,1138.83,1404.74,1287.34,1449.32,982.8,1384.9,1398.86,1212.81,1567.51,1467.05,1331.88,1427.08,1457.74,1578.02,1520.84,1304.97,728.49,1068.94,1158.3,1409.3,10
app_gross_sales_bedford_and_n_7th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.25,596,702.75,797,1139.5,1076.5,1077.25,1017,836.25,883.75,828.5,1156,1102,1107.5,1025.75,1019.25,1089.75,1039.5,1098.25,1024,1078.5,1291,1296.75,1162.5,958.25,1132.5,1114,1153.75,1025.75,952.5,792,1046.75,1120,1059.5,1039.25,1107,1311,1041.75,1167.75,1225,1144.75,1308.25,1299.25,1193.25,862.75,1225.25,1558.5,1979,10
app_gross_sales_bergen_and_nevins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.75,475.5,639.64,567.06,358.91,567.58,621.13,647.33,706.45,721.73,612,791.06,620.78,725.5,861.71,891.25,939.92,1018.56,1050.56,1314.97,1140.08,1371.81,1334.75,1441.66,1517.11,1382.96,1309.66,1420.91,1322.22,974.08,1493.54,1770.2,1910.5,10
app_gross_sales_bleecker_and_7th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,487.75,638.25,690,10
app_gross_sales_bowery_market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.75,413.5,394.03,373.5,311.01,211.94,189.09,321.64,488.45,665.55,10
app_gross_sales_broadway_and_w_30th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.25,321.5,207.5,217.13,164.63,207.98,41.5,188.01,220.85,307.6,10
app_gross_sales_broadway_and_w_79th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.25,816.75,739.63,716.25,544.01,611.93,831.35,912.5,10
app_gross_sales_brooklyn_commons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.5,422.75,484.75,500.75,594.5,674.25,488.38,648.25,726.5,868.47,1146.4,1376.97,1599.58,1340.92,1551.08,2130.83,1608.67,1834.89,1853.06,1730.23,956.55,1355.81,1705.75,2358,10
app_gross_sales_court_and_bergen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,574.75,983,1071.81,1187.18,1420.81,1528.46,1587.78,2063.78,1979.86,2022.18,1837.55,1751.05,1391.03,1753.65,2202.16,2781.15,10
app_gross_sales_grand_army_plaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
app_gross_sales_jay_and_water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.25,1472.56,1433.68,1449.75,1914.25,1402.75,1547.25,1006.25,2089.25,1109.5,1815.75,1772.25,1430,1930,1578.75,1844.25,2397.25,1227.5,1989.75,2219,2706.25,10
app_gross_sales_lafayette_and_spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.25,1099.47,1290.63,1416.87,1442.28,1582.08,1601.87,1454.7,1557.87,1900.89,1906.23,2177.2,1826.88,1700.74,1767.11,1954.51,1989.3,1917.06,1848.99,1632,1734.55,1656.9,1985.8,2065.05,2144.45,2024.4,2066.48,2151.39,2012.95,2185.1,2176.12,2401.59,2196.1,1134.5,2283.98,2790.75,3296.85,10
app_gross_sales_lincoln_place_and_5th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
app_gross_sales_madison_square_park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.5,168.75,161,259,10
app_gross_sales_mccarren_park_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.5,778.5,799.25,419.5,369.75,376,416.25,476.75,466.5,314,397,403.51,378.36,237.28,76.5,374.95,124.43,21,0,0,0,0,0,0,0,0,0,0,0,10
app_gross_sales_mccarren_park_south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.25,868.25,746.75,744.75,705.25,566.5,775.75,846.75,846.25,813.5,897.5,786.5,1081.25,1004.25,1325.5,888,1175,1252.75,1157.75,1033.25,891.75,1088.75,1122.75,613.5,928.25,1167.75,1385.5,10
app_gross_sales_smith_and_pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,728.25,958.75,795.5,810.5,844.25,1143,688.5,861.25,1105,1165.25,295.5,263.5,564.5,315.5,395.75,417.5,422.25,454.5,0,464.25,480.5,777.25,10
ROHAN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.23,198.51,355.31,242.71,323.32,307.81,656.51,626.06,256.25,656.25,770.25,754.25,635,435,467.25,226.25,422.25,977.25,1791.25,10
ROHAN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.75,624.25,773.75,510,1114.25,954.75,2465,1677.75,858.5,1186.75,1243.75,1277.5,1369.75,1264.75,1724.75,1286.25,1745.75,2159.25,1662.5,1467.5,1764,1687,1641,1696.25,1832,1832.25,1804,2485.5,2672.5,1490.25,1781.25,2221.25,2060,2071.5,1861.75,1880.5,1971.5,1638.5,1808.5,1892.75,1932,1668.75,1651,1705.25,2095.25,2006.5,2283.25,2215.5,2238.75,2398.25,1994.75,1944.5,1823.5,1395.25,1844,988.25,1880.5,2204.25,1737,10
