,08/09/2020,08/16/2020,08/23/2020,08/30/2020,09/06/2020,09/13/2020,09/20/2020,09/27/2020,10/04/2020,10/11/2020,10/18/2020,10/25/2020,11/01/2020,11/08/2020,11/15/2020,11/22/2020,11/29/2020,12/06/2020,12/13/2020,12/20/2020,12/27/2020,01/03/2021,01/10/2021,01/17/2021,01/24/2021,01/31/2021,02/07/2021,02/14/2021,02/21/2021,02/28/2021,03/07/2021,03/14/2021,03/21/2021,03/28/2021,04/04/2021,04/11/2021,04/18/2021,04/25/2021,05/02/2021,05/09/2021,05/16/2021,05/23/2021,05/30/2021,06/06/2021,06/13/2021,06/20/2021,06/27/2021,07/04/2021,07/11/2021,07/18/2021,07/25/2021,08/01/2021,08/08/2021,08/15/2021,08/22/2021,08/29/2021,09/05/2021,09/12/2021,09/19/2021,09/26/2021,10/03/2021,10/10/2021,10/17/2021,10/24/2021,10/31/2021,11/07/2021,11/14/2021,11/21/2021,11/28/2021,12/05/2021,12/12/2021,12/19/2021,12/26/2021,01/02/2222
prev_net_sales_lafayette_and_spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3353.25,5287.47,6740.63,7504.37,7377.28,8592.58,8327.87,7398.7,8150.62,9128.39,9285.73,11437.45,8556.38,8602.99,8984.61,9557.01,9415.55,9971.56,8878.74,8934,9162.3,8779.4,10113.8,10673.3,11911.13,10656.65,11119.48,11932.14,12309.95,11978.6,12366.12,11911.84,11936.1,8386.75,12054.73,13426.75,10
prev_net_sales_lincoln_place_and_5th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28,10
prev_net_sales_madison_square_park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093.61,1233.74,1128.53,427.12,831.61,778.88,613.63,957.93,954.72,1196.53,1195.02,1295.52,1286.66,1359.21,1663.01,1394.19,1219.87,1518.43,724.44,977.82,2680,4809.64,5966,10
prev_net_sales_mccarren_park_north,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6233.25,7151.75,7158,6256,4581.75,4966.25,4728.25,5293,6027,5435.5,5723,4896.01,6006.86,7782.28,1181,5236.45,1738.68,190.25,0,0,0,0,41,0,0,0,0,0,10
prev_net_sales_mccarren_park_south,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4193.75,6460,4946.75,4656.25,5786.5,5623.75,6424.5,6422.25,6628,6405,7130,6578.5,9142.5,8039,9089.75,6776.5,8034,8799.82,7266.25,7357.75,8022.25,7641.2,8149.25,5096.5,7324.27,6856.75,10
prev_net_sales_smith_and_pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099.75,4674.75,6996,6812.5,6039.5,5494.5,6600.5,5934.25,6638.75,8280.5,8039.25,2657,2912,5385.25,3741,4466,3344.75,4857.5,4360.5,6.5,4272,5344,10
prev_net_sales_washington_square_park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1973.48,2426.51,3251.31,3909.46,8846.57,7368.31,10119.76,5908.56,2783,5493.75,8100,7855.75,8471,7981,7545.5,3766.75,6207.5,8218.5,10
prev_net_sales_wythe_diner,0,1345.25,3406.25,3502.5,4979.5,5968.25,5190.25,4336,7523.25,9302.25,8186.5,9213,7350,8977.75,7568.75,9015.99,8565.75,7763.5,6349.75,6600.75,7650.5,7751.25,5435.75,4900.5,5975.49,6431.74,8648.75,5515.25,7095.5,6461,8243.5,5655.25,6745.25,7603.25,6425,7750.25,7143.5,7910,7950,10213.25,9601.5,9126.25,10418.5,31425.25,7117.75,9641.25,10687.5,10270.75,12310.75,8623.5,8567.75,8658.75,8807,10228.25,10631.75,10477,8892.25,9339.25,9566.5,10940.75,11028,12645.81,10899.25,29169,30545,28374.25,27686.5,16933.25,16106.75,17437.5,13523.5,25023.25,8780.75,10
open_days_13th_and_7th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,7,7,17
open_days_21st_and_9th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,17
